c_loss,d_loss,e_loss,elapsed_time,epoch,g_loss,step,total_loss,val_c_loss,val_d_accuracy,val_d_loss,val_e_loss,val_g_loss,val_total_loss
7.726031303405762,-12.21823787689209,-14.169734954833984,1424.4400634765625,9,-137.4481964111328,1699,-156.11013793945312,,,,,,
,,,1436.5301513671875,9,,1719,,57.447052001953125,-11.280365943908691,-197.71165466308594,-90.18578338623047,29.567832946777344,-200.88255310058594
8.394699096679688,-19.082286834716797,-19.43998146057129,1463.60400390625,10,-119.12911987304688,1749,-149.25669860839844,,,,,,
9.680037498474121,-28.432514190673828,-27.287647247314453,1488.177734375,10,13.810651779174805,1799,-32.22947311401367,,,,,,
6.386244297027588,-55.21074676513672,-34.45622253417969,1513.31640625,10,-136.51376342773438,1849,-219.79449462890625,,,,,,
,,,1535.822021484375,10,,1891,,75.65608215332031,-17.557409286499023,-228.66998291015625,-137.74794006347656,67.6027603149414,-223.15911865234375
8.97743034362793,-51.44037628173828,-40.618656158447266,1552.5728759765625,11,-205.13082885742188,1899,-288.2124328613281,,,,,,
9.349318504333496,60.29861831665039,-45.126220703125,1577.4144287109375,11,30.059284210205078,1949,54.58100128173828,,,,,,
8.11461067199707,-23.46741485595703,-47.756622314453125,1602.01904296875,11,-310.4935302734375,1999,-373.6029357910156,,,,,,
11.13758373260498,32.73879623413086,-49.16358947753906,1626.5277099609375,11,-285.30157470703125,2049,-290.5887756347656,,,,,,
,,,1635.7962646484375,11,,2063,,115.39588928222656,-3.5991430282592773,-227.2586669921875,-139.36422729492188,-0.22231140732765198,-251.44935607910156
3.7109365463256836,8.062801361083984,-36.84587097167969,1665.42041015625,12,-287.015625,2099,-312.0877685546875,,,,,,
3.7954225540161133,2.2057087421417236,-39.101131439208984,1690.2181396484375,12,-455.14068603515625,2149,-488.2406921386719,,,,,,
3.022519111633301,-6.5084123611450195,-48.87392807006836,1714.7296142578125,12,-329.11187744140625,2199,-381.4717102050781,,,,,,
,,,1735.1700439453125,12,,2235,,261.314453125,60.4697380065918,-345.748779296875,-294.5185241699219,-98.90803527832031,-477.86090087890625
2.819308280944824,-41.64805221557617,-55.704620361328125,1762.8160400390625,13,-273.2437744140625,2249,-367.7771301269531,,,,,,
11.287467956542969,-5.105342864990234,-64.5583724975586,1787.2955322265625,13,-280.822021484375,2299,-339.1982727050781,,,,,,
5.150569438934326,-7.3629255294799805,-67.2674331665039,1811.9317626953125,13,-279.32452392578125,2349,-348.8042907714844,,,,,,
4.489524841308594,-1.8868950605392456,-75.10773468017578,1836.787353515625,13,-78.77204895019531,2399,-151.27716064453125,,,,,,
,,,1842.725830078125,13,,2407,,197.04913330078125,-39.72447204589844,-160.58425903320312,-283.03021240234375,89.85961151123047,-156.70571899414062
8.243032455444336,-2.1183955669403076,-84.62103271484375,1875.996337890625,14,-216.54489135742188,2449,-295.0412902832031,,,,,,
9.26003646850586,-9.00125789642334,-86.3848876953125,1900.7760009765625,14,-73.40472412109375,2499,-159.5308380126953,,,,,,
-2.1897201538085938,-9.121655464172363,-85.02265930175781,1925.43017578125,14,-164.12197875976562,2549,-260.45599365234375,,,,,,
,,,1942.5972900390625,14,,2579,,177.49859619140625,-38.242313385009766,-170.75906372070312,-238.16497802734375,92.21607208251953,-139.20933532714844
13.932985305786133,-15.995046615600586,-92.046875,1963.9293212890625,15,-117.82951354980469,2599,-211.93844604492188,,,,,,
4.404199123382568,5.747842788696289,-88.73131561279297,1988.4610595703125,15,-248.62701416015625,2649,-327.2062683105469,,,,,,
-0.43526268005371094,3.2051472663879395,-87.08840942382812,2013.1163330078125,15,-93.06997680664062,2699,-177.3885040283203,,,,,,
7.23344612121582,-20.872234344482422,-92.10926818847656,2037.6456298828125,15,-217.75674438476562,2749,-323.50482177734375,,,,,,
,,,2040.80419921875,15,,2751,,146.63890075683594,7.578567981719971,-214.76312255859375,-220.2924346923828,-0.7156903147697449,-289.1323547363281
1.3505687713623047,-22.932464599609375,-89.55075073242188,2076.029296875,16,-127.94092559814453,2799,-239.0735626220703,,,,,,
2.6291332244873047,0.7467341423034668,-94.727294921875,2100.6865234375,16,-178.93972778320312,2849,-270.2911376953125,,,,,,
8.755950927734375,-20.077219009399414,-102.60860443115234,2125.271728515625,16,-200.0714111328125,2899,-314.00128173828125,,,,,,
,,,2139.458984375,16,,2923,,174.52481079101562,-52.075923919677734,-99.58953857421875,-247.30950927734375,85.29571533203125,-87.07850646972656
3.6546664237976074,-21.44211769104004,-101.58595275878906,2165.4169921875,17,-199.84811401367188,2949,-319.2215270996094,,,,,,
5.409799575805664,-8.057348251342773,-111.2439193725586,2190.2392578125,17,-39.05474090576172,2999,-152.9462127685547,,,,,,
3.4666061401367188,3.459627389907837,-114.60236358642578,2214.83642578125,17,-124.23805236816406,3049,-231.9141845703125,,,,,,
,,,2240.52099609375,17,,3095,,272.9707336425781,-33.04961395263672,-142.81773376464844,-320.38946533203125,69.879150390625,-120.3572769165039
6.872884750366211,-18.61315155029297,-125.57109832763672,2253.957763671875,18,-102.5094985961914,3099,-239.82086181640625,,,,,,
2.9444150924682617,-6.7349443435668945,-126.12399291992188,2278.591796875,18,-50.029335021972656,3149,-179.94384765625,,,,,,
8.769966125488281,-0.7124661803245544,-127.29499053955078,2303.241943359375,18,-109.85453796386719,3199,-229.09202575683594,,,,,,
2.7392115592956543,-4.426096439361572,-127.17326354980469,2327.9970703125,18,-249.49473571777344,3249,-378.3548889160156,,,,,,
,,,2339.296142578125,18,,3267,,253.31698608398438,2.7729156017303467,-174.84619140625,-307.34600830078125,-6.054292678833008,-234.92947387695312
10.552814483642578,-15.679682731628418,-141.36297607421875,2366.715576171875,19,-113.83951568603516,3299,-260.329345703125,,,,,,
6.663134574890137,-4.926018714904785,-146.5493927001953,2391.72216796875,19,-71.65924072265625,3349,-216.47152709960938,,,,,,
5.033465385437012,-0.36410409212112427,-145.1492462158203,2416.222900390625,19,-153.02017211914062,3399,-293.50006103515625,,,,,,
,,,2439.15380859375,19,,3439,,336.89898681640625,-4.052486419677734,-172.61253356933594,-385.05340576171875,17.88304901123047,-202.88394165039062
8.142120361328125,6.110870361328125,-150.04212951660156,2456.620849609375,20,-151.7122802734375,3449,-287.50140380859375,,,,,,
12.74770450592041,5.335661888122559,-156.9239959716797,2481.047119140625,20,-265.2042236328125,3499,-404.04486083984375,,,,,,
-2.891777515411377,8.555225372314453,-151.8960723876953,2505.625244140625,20,-214.99114990234375,3549,-361.2237854003906,,,,,,
6.697941780090332,7.65199089050293,-160.0382537841797,2530.607177734375,20,-144.99664306640625,3599,-290.6849670410156,,,,,,
,,,2539.10546875,20,,3611,,324.6343078613281,15.617541313171387,-127.77970886230469,-409.84332275390625,-29.398460388183594,-242.38714599609375
8.278092384338379,5.684556007385254,-166.65110778808594,2569.13427734375,21,-98.71124267578125,3649,-251.3997039794922,,,,,,
10.052814483642578,2.181525945663452,-172.2521209716797,2593.985107421875,21,-132.262451171875,3699,-292.2802429199219,,,,,,
4.135128021240234,2.621551275253296,-173.1603546142578,2618.573486328125,21,-104.8815689086914,3749,-271.2852478027344,,,,,,
,,,2637.281982421875,21,,3783,,378.0647277832031,18.625539779663086,-89.46794128417969,-517.6341552734375,-49.41031265258789,-278.4477233886719
-0.6520838737487793,4.17326545715332,-173.0634307861328,2657.08447265625,22,-192.2934112548828,3799,-361.8356628417969,,,,,,
4.206928253173828,4.238831520080566,-176.0820770263672,2682.3759765625,22,-72.88999938964844,3849,-240.5263214111328,,,,,,
0.4082760810852051,8.545699119567871,-180.39825439453125,2706.90087890625,22,-100.40982055664062,3899,-271.8540954589844,,,,,,
4.4099345207214355,6.996922492980957,-187.10797119140625,2731.6005859375,22,-104.13550567626953,3949,-279.83660888671875,,,,,,
,,,2737.172607421875,22,,3955,,303.71551513671875,6.95878791809082,-77.82847595214844,-489.4094543457031,-20.044599533081055,-283.56707763671875
